Step,Training Loss,reward,reward_std,completion_length,kl,rewards / match_format_exactly,rewards / match_format_approximately,rewards / check_answer,rewards / check_numbers
56,0.004400,13.000000,0.000000,1381.250000,0.110959,3.000000,1.500000,5.000000,3.500000
57,0.004600,6.750000,7.216878,1100.000000,0.116166,3.000000,1.500000,1.250000,1.000000
58,0.006100,-7.500000,0.000000,1846.000000,0.151746,0.000000,-3.000000,-2.000000,-2.500000
59,0.005000,-7.500000,0.000000,1846.000000,0.124102,0.000000,-3.000000,-2.000000,-2.500000
60,0.005400,-7.500000,0.000000,1846.000000,0.134021,0.000000,-3.000000,-2.000000,-2.500000
61,0.005400,-7.500000,0.000000,1846.000000,0.134724,0.000000,-3.000000,-2.000000,-2.500000
62,0.004600,-3.500000,4.618802,1739.250000,0.114914,1.500000,-0.750000,-2.250000,-2.000000
63,0.004600,-6.500000,2.000000,1840.500000,0.115412,0.000000,-2.250000,-2.000000,-2.250000
64,0.003900,-2.375000,10.250000,1700.500000,0.096654,0.750000,-1.875000,-0.250000,-1.000000
65,0.005800,13.000000,0.000000,1177.000000,0.144043,3.000000,1.500000,5.000000,3.500000
66,0.005700,10.875000,4.250000,1196.500000,0.141380,3.000000,1.500000,4.125000,2.250000
67,0.004700,2.750000,11.835680,1684.000000,0.117414,1.500000,-0.750000,1.500000,0.500000
68,0.004600,-7.500000,0.000000,1846.000000,0.115974,0.000000,-3.000000,-2.000000,-2.500000
69,0.005800,5.750000,9.699656,1510.500000,0.145899,2.250000,0.375000,2.375000,0.750000
70,0.004900,-7.500000,0.000000,1846.000000,0.122652,0.000000,-3.000000,-2.000000,-2.500000
71,0.003700,-7.500000,0.000000,1846.000000,0.092026,0.000000,-3.000000,-2.000000,-2.500000
72,0.003600,0.250000,9.836158,1810.500000,0.089310,0.750000,-0.750000,-0.250000,0.500000
73,0.003100,-7.500000,0.000000,1846.000000,0.078275,0.000000,-3.000000,-2.000000,-2.500000
74,0.004700,2.750000,11.835680,1662.750000,0.117625,1.500000,-0.750000,1.500000,0.500000
75,0.005400,1.875000,6.250000,1588.250000,0.134210,2.250000,0.375000,1.000000,-1.750000
76,0.003400,-7.500000,0.000000,1846.000000,0.085360,0.000000,-3.000000,-2.000000,-2.500000
77,0.006400,5.750000,9.699656,1511.500000,0.159980,2.250000,0.375000,2.375000,0.750000
78,0.004400,-5.500000,4.000000,1780.250000,0.109536,0.750000,-1.875000,-2.125000,-2.250000
79,0.006600,2.750000,11.835680,1650.250000,0.164220,1.500000,-0.750000,1.500000,0.500000
80,0.004400,-7.500000,0.000000,1846.000000,0.109638,0.000000,-3.000000,-2.000000,-2.500000
81,0.005800,-5.500000,4.000000,1718.500000,0.146145,0.750000,-1.875000,-2.125000,-2.250000
82,0.006000,-5.500000,4.000000,1838.500000,0.149491,0.750000,-1.875000,-2.125000,-2.250000
83,0.004900,-2.375000,10.250000,1801.000000,0.122010,0.750000,-1.875000,-0.250000,-1.000000
84,0.003300,-4.875000,3.772157,1534.500000,0.081980,0.750000,-1.500000,-2.125000,-2.000000
85,0.004500,-7.500000,0.000000,1736.000000,0.112571,0.000000,-3.000000,-2.000000,-2.500000
86,0.004200,-7.500000,0.000000,1846.000000,0.105930,0.000000,-3.000000,-2.000000,-2.500000
87,0.004700,-7.500000,0.000000,1846.000000,0.117618,0.000000,-3.000000,-2.000000,-2.500000
88,0.003800,-2.375000,10.250000,1771.750000,0.094815,0.750000,-1.875000,-0.250000,-1.000000
89,0.004200,-1.500000,2.273030,1682.500000,0.103934,1.500000,0.750000,-2.750000,-1.000000
90,0.003200,-7.500000,0.000000,1846.000000,0.078818,0.000000,-3.000000,-2.000000,-2.500000
91,0.003700,-7.500000,0.000000,1846.000000,0.092524,0.000000,-3.000000,-2.000000,-2.500000
92,0.005700,2.750000,11.835680,1567.250000,0.142832,1.500000,-0.750000,1.500000,0.500000
93,0.005300,2.750000,11.835680,1706.500000,0.131643,1.500000,-0.750000,1.500000,0.500000
94,0.005100,-3.875000,2.926175,1557.500000,0.128169,1.500000,-0.375000,-3.250000,-1.750000
95,0.004000,-7.500000,0.000000,1846.000000,0.100573,0.000000,-3.000000,-2.000000,-2.500000
96,0.006600,2.750000,8.568353,1248.500000,0.164374,2.250000,0.375000,0.625000,-0.500000
97,0.007200,4.750000,10.070584,1428.250000,0.179731,2.250000,0.375000,1.375000,0.750000
98,0.005000,5.875000,9.681382,1680.250000,0.125890,2.250000,0.375000,2.500000,0.750000
99,0.004800,-7.500000,0.000000,1846.000000,0.120776,0.000000,-3.000000,-2.000000,-2.500000
100,0.005200,-7.500000,0.000000,1846.000000,0.129945,0.000000,-3.000000,-2.000000,-2.500000
